dataset,machine_id,recording_id,base_recording_id,sensor_type,sensor_types_present,speed,speed_rpm,load,pressure_bar,flow_m3h,operating_condition_id,fault_family,severity,health_label,original_label,damage_source,run_id,source_path,source_files,n_source_files,mat_top_level_key,mat_signal_keys,mat_channel_names,is_readable,exclude_from_training,notes
cwru,cwru_bearing_rig,cwru_b007_1_123_vibration,cwru_b007_1_123,vibration,vibration,unknown,unknown,1,,,load_1,bearing_ball,007,fault,B007,seeded_fault,123,data/raw/cwru/raw/B007_1_123.mat,B007_1_123.mat,1,,,,True,False,cwru_raw_mat;or_position_none
cwru,cwru_bearing_rig,cwru_b014_1_190_vibration,cwru_b014_1_190,vibration,vibration,unknown,unknown,1,,,load_1,bearing_ball,014,fault,B014,seeded_fault,190,data/raw/cwru/raw/B014_1_190.mat,B014_1_190.mat,1,,,,True,False,cwru_raw_mat;or_position_none
cwru,cwru_bearing_rig,cwru_b021_1_227_vibration,cwru_b021_1_227,vibration,vibration,unknown,unknown,1,,,load_1,bearing_ball,021,fault,B021,seeded_fault,227,data/raw/cwru/raw/B021_1_227.mat,B021_1_227.mat,1,,,,True,False,cwru_raw_mat;or_position_none
cwru,cwru_bearing_rig,cwru_ir007_1_110_vibration,cwru_ir007_1_110,vibration,vibration,unknown,unknown,1,,,load_1,bearing_inner_race,007,fault,IR007,seeded_fault,110,data/raw/cwru/raw/IR007_1_110.mat,IR007_1_110.mat,1,,,,True,False,cwru_raw_mat;or_position_none
cwru,cwru_bearing_rig,cwru_ir014_1_175_vibration,cwru_ir014_1_175,vibration,vibration,unknown,unknown,1,,,load_1,bearing_inner_race,014,fault,IR014,seeded_fault,175,data/raw/cwru/raw/IR014_1_175.mat,IR014_1_175.mat,1,,,,True,False,cwru_raw_mat;or_position_none
cwru,cwru_bearing_rig,cwru_ir021_1_214_vibration,cwru_ir021_1_214,vibration,vibration,unknown,unknown,1,,,load_1,bearing_inner_race,021,fault,IR021,seeded_fault,214,data/raw/cwru/raw/IR021_1_214.mat,IR021_1_214.mat,1,,,,True,False,cwru_raw_mat;or_position_none
cwru,cwru_bearing_rig,cwru_or007_6_1_136_vibration,cwru_or007_6_1_136,vibration,vibration,unknown,unknown,1,,,load_1,bearing_outer_race,007,fault,OR007_position_6,seeded_fault,136,data/raw/cwru/raw/OR007_6_1_136.mat,OR007_6_1_136.mat,1,,,,True,False,cwru_raw_mat;or_position_6
cwru,cwru_bearing_rig,cwru_or014_6_1_202_vibration,cwru_or014_6_1_202,vibration,vibration,unknown,unknown,1,,,load_1,bearing_outer_race,014,fault,OR014_position_6,seeded_fault,202,data/raw/cwru/raw/OR014_6_1_202.mat,OR014_6_1_202.mat,1,,,,True,False,cwru_raw_mat;or_position_6
cwru,cwru_bearing_rig,cwru_or021_6_1_239_vibration,cwru_or021_6_1_239,vibration,vibration,unknown,unknown,1,,,load_1,bearing_outer_race,021,fault,OR021_position_6,seeded_fault,239,data/raw/cwru/raw/OR021_6_1_239.mat,OR021_6_1_239.mat,1,,,,True,False,cwru_raw_mat;or_position_6
cwru,cwru_bearing_rig,cwru_time_normal_1_098_vibration,cwru_time_normal_1_098,vibration,vibration,unknown,unknown,1,,,load_1,healthy,0,healthy,normal,healthy,098,data/raw/cwru/raw/Time_Normal_1_098.mat,Time_Normal_1_098.mat,1,,,,True,False,cwru_raw_mat
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfi_1_current,nln_emp_motor_2_100_bearing_bpfi_1,current,current,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_inner_race,2,fault,bearing bpfi 1,experimental,unknown,data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 1/Electric_Motor-2_100_time-bearing bpfi 1-ch1.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 1/Electric_Motor-2_100_time-bearing bpfi 1-ch2.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 1/Electric_Motor-2_100_time-bearing bpfi 1-ch3.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 1/Electric_Motor-2_100_time-bearing bpfi 1-ch4.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 1/Electric_Motor-2_100_time-bearing bpfi 1-ch5.csv|data/raw/nln_emp/Dataset/Electric/Motor-2/100/bearing bpfi 1/Electric_Motor-2_100_time-bearing bpfi 1-ch6.csv,Electric_Motor-2_100_time-bearing bpfi 1-ch1.csv|Electric_Motor-2_100_time-bearing bpfi 1-ch2.csv|Electric_Motor-2_100_time-bearing bpfi 1-ch3.csv|Electric_Motor-2_100_time-bearing bpfi 1-ch4.csv|Electric_Motor-2_100_time-bearing bpfi 1-ch5.csv|Electric_Motor-2_100_time-bearing bpfi 1-ch6.csv,6,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True|channel_6;nln_overview_verified=True
nln_emp,Motor-2,nln_emp_motor_2_100_bearing_bpfi_1_vibration,nln_emp_motor_2_100_bearing_bpfi_1,vibration,vibration,100,1480,unknown,1.4,140,motor_2_speed_100,bearing_inner_race,2,fault,bearing bpfi 1,experimental,unknown,data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 1/Vibration_Motor-2_100_time-bearing bpfi 1-ch1.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 1/Vibration_Motor-2_100_time-bearing bpfi 1-ch2.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 1/Vibration_Motor-2_100_time-bearing bpfi 1-ch3.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 1/Vibration_Motor-2_100_time-bearing bpfi 1-ch4.csv|data/raw/nln_emp/Dataset/Vibration/Motor-2/100/bearing bpfi 1/Vibration_Motor-2_100_time-bearing bpfi 1-ch5.csv,Vibration_Motor-2_100_time-bearing bpfi 1-ch1.csv|Vibration_Motor-2_100_time-bearing bpfi 1-ch2.csv|Vibration_Motor-2_100_time-bearing bpfi 1-ch3.csv|Vibration_Motor-2_100_time-bearing bpfi 1-ch4.csv|Vibration_Motor-2_100_time-bearing bpfi 1-ch5.csv,5,,,,True,False,channel_1;nln_overview_verified=True|channel_2;nln_overview_verified=True|channel_3;nln_overview_verified=True|channel_4;nln_overview_verified=True|channel_5;nln_overview_verified=True
