relative_path,original_filename,top_level_key,channel_index,channel_name,channel_path,channel_device,channel_raster,channel_unit,channel_type_code,channel_x_index,channel_downsampling,n_samples,channel_min,channel_max,inferred_sensor_type,read_error
data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16008,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256823,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256823,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,3,speed,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16008,-1.7976931348623157e+308,1.7976931348623157e+308,speed,
data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,4,temp_2_bearing_module,Model Root/Einggangssignal,Platform,Temp_1Hz,,4,3,1,5,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,5,torque,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16008,-1.7976931348623157e+308,1.7976931348623157e+308,torque_or_load,
data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,6,vibration_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256823,-1.7976931348623157e+308,1.7976931348623157e+308,vibration,
data/raw/paderborn/K001/N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10,0,force,Model Root/Einggangssignal,Platform,Mech_4kHz,,4,1,1,16007,-1.7976931348623157e+308,1.7976931348623157e+308,force,
data/raw/paderborn/K001/N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10,1,phase_current_1,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256608,-1.7976931348623157e+308,1.7976931348623157e+308,current,
data/raw/paderborn/K001/N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10.mat,N09_M07_F10_K001_10,2,phase_current_2,Model Root/Einggangssignal,Platform,HostService,,4,2,1,256608,-1.7976931348623157e+308,1.7976931348623157e+308,current,
