dataset,original_filename,absolute_path,relative_path,extension,file_size,checksum_sha256,likely_sensor_type,candidate_recording_id,notes
cwru,CWRU_48k_load_1_CNN_data.npz,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/CWRU_48k_load_1_CNN_data.npz,data/raw/cwru/CWRU_48k_load_1_CNN_data.npz,npz,37830866,1a76430da9967f13de37cd20fcd17e3e983ac866c32ea2ef7890127de8008639,derived_or_packaged_data,cwru_48k_load_1_cnn_data,derived_or_prepackaged_file
cwru,feature_time_48k_2048_load_1.csv,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/feature_time_48k_2048_load_1.csv,data/raw/cwru/feature_time_48k_2048_load_1.csv,csv,394932,3be53b17624dcbf32efeeea6c5eaf325c99cd6c792863cc31d0b473452420b52,derived_features,feature_time_48k_2048_load_1,derived_or_prepackaged_file
cwru,B007_1_123.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/B007_1_123.mat,data/raw/cwru/raw/B007_1_123.mat,mat,7798480,a1932ec4bad2460238088ca523fdcec6498e562e91f86255863d3987d9fcd558,vibration,b007_1_123,cwru_mat_recording
cwru,B014_1_190.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/B014_1_190.mat,data/raw/cwru/raw/B014_1_190.mat,mat,7779920,ae5fb00ce1eeefa5e21013197b186c0496f52820bdff00b385c58dfcb64a5b2f,vibration,b014_1_190,cwru_mat_recording
cwru,B021_1_227.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/B021_1_227.mat,data/raw/cwru/raw/B021_1_227.mat,mat,7789200,c5c7aa64243ecd1428999aae4be29ba5d4de9235fee9731352c6cce7de604675,vibration,b021_1_227,cwru_mat_recording
cwru,IR007_1_110.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/IR007_1_110.mat,data/raw/cwru/raw/IR007_1_110.mat,mat,7779920,9e2bc579af6f4e6d9d26bf63b7ed84ecba7775740d56a3737cc8f04f73c22d1a,vibration,ir007_1_110,cwru_mat_recording
cwru,IR014_1_175.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/IR014_1_175.mat,data/raw/cwru/raw/IR014_1_175.mat,mat,17849704,18302e96425ad163db699da3a2ca63d8f6ef4dfc99172e97ab21a8a77a83ac17,vibration,ir014_1_175,cwru_mat_recording
cwru,IR021_1_214.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/IR021_1_214.mat,data/raw/cwru/raw/IR021_1_214.mat,mat,7761344,a8fe29f358b7f9c140f38e0cd7fbafdd7441c44e30a5b704ecb9be64cbb841ed,vibration,ir021_1_214,cwru_mat_recording
cwru,OR007_6_1_136.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/OR007_6_1_136.mat,data/raw/cwru/raw/OR007_6_1_136.mat,mat,7789200,37f259eebbc92afa8bd1b445d02af14e83608a48cd7a3cf5c323515ddc2d0f24,vibration,or007_6_1_136,cwru_mat_recording
cwru,OR014_6_1_202.mat,/home/Aria/data/multimodal-motor-fault-fusion/data/raw/cwru/raw/OR014_6_1_202.mat,data/raw/cwru/raw/OR014_6_1_202.mat,mat,7752064,16f1a7eadbd6703a7a1ab1a32f8d7b97b6b85c1b31b1e760c123a9e175d8ae63,vibration,or014_6_1_202,cwru_mat_recording
