protocol,fold_id,dataset,recording_id,base_recording_id,split,machine_id,sensor_type,sensor_types_present,speed,load,operating_condition_id,fault_family,severity,health_label,damage_source,run_id,source_path,exclude_from_training,notes
cwru_leave_one_load_out,test_load_0,cwru,cwru_b007_1_119_vibration,cwru_b007_1_119,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_ball,007,fault,seeded_fault,119,data/raw/cwru/raw/B007_1_119.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_0,cwru,cwru_ir007_1_106_vibration,cwru_ir007_1_106,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_inner_race,007,fault,seeded_fault,106,data/raw/cwru/raw/IR007_1_106.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_0,cwru,cwru_or007_6_1_131_vibration,cwru_or007_6_1_131,train,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,bearing_outer_race,007,fault,seeded_fault,131,data/raw/cwru/raw/OR007_6_1_131.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_0,cwru,cwru_time_normal_1_98_vibration,cwru_time_normal_1_98,val,cwru_bearing_rig,vibration,vibration,unknown,1,load_1,healthy,0,healthy,healthy,98,data/raw/cwru/raw/Time_Normal_1_98.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_0,cwru,cwru_b007_2_120_vibration,cwru_b007_2_120,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_ball,007,fault,seeded_fault,120,data/raw/cwru/raw/B007_2_120.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_0,cwru,cwru_ir007_2_107_vibration,cwru_ir007_2_107,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_inner_race,007,fault,seeded_fault,107,data/raw/cwru/raw/IR007_2_107.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_0,cwru,cwru_or007_6_2_132_vibration,cwru_or007_6_2_132,train,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,bearing_outer_race,007,fault,seeded_fault,132,data/raw/cwru/raw/OR007_6_2_132.mat,False,cwru_raw_mat;or_position_6
cwru_leave_one_load_out,test_load_0,cwru,cwru_time_normal_2_99_vibration,cwru_time_normal_2_99,val,cwru_bearing_rig,vibration,vibration,unknown,2,load_2,healthy,0,healthy,healthy,99,data/raw/cwru/raw/Time_Normal_2_99.mat,False,cwru_raw_mat
cwru_leave_one_load_out,test_load_0,cwru,cwru_b007_3_121_vibration,cwru_b007_3_121,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_ball,007,fault,seeded_fault,121,data/raw/cwru/raw/B007_3_121.mat,False,cwru_raw_mat;or_position_none
cwru_leave_one_load_out,test_load_0,cwru,cwru_ir007_3_108_vibration,cwru_ir007_3_108,train,cwru_bearing_rig,vibration,vibration,unknown,3,load_3,bearing_inner_race,007,fault,seeded_fault,108,data/raw/cwru/raw/IR007_3_108.mat,False,cwru_raw_mat;or_position_none
