protocol,fold_id,dataset,recording_id,base_recording_id,split,machine_id,sensor_type,sensor_types_present,speed,load,operating_condition_id,fault_family,severity,health_label,damage_source,run_id,source_path,exclude_from_training,notes
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_10_multisensor,paderborn_n09_m07_f10_k003_10,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,10,data/raw/paderborn/K003/N09_M07_F10_K003_10.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_11_multisensor,paderborn_n09_m07_f10_k003_11,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,11,data/raw/paderborn/K003/N09_M07_F10_K003_11.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_12_multisensor,paderborn_n09_m07_f10_k003_12,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,12,data/raw/paderborn/K003/N09_M07_F10_K003_12.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_13_multisensor,paderborn_n09_m07_f10_k003_13,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,13,data/raw/paderborn/K003/N09_M07_F10_K003_13.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_14_multisensor,paderborn_n09_m07_f10_k003_14,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,14,data/raw/paderborn/K003/N09_M07_F10_K003_14.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_15_multisensor,paderborn_n09_m07_f10_k003_15,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,15,data/raw/paderborn/K003/N09_M07_F10_K003_15.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_16_multisensor,paderborn_n09_m07_f10_k003_16,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,16,data/raw/paderborn/K003/N09_M07_F10_K003_16.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_17_multisensor,paderborn_n09_m07_f10_k003_17,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,17,data/raw/paderborn/K003/N09_M07_F10_K003_17.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_18_multisensor,paderborn_n09_m07_f10_k003_18,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,18,data/raw/paderborn/K003/N09_M07_F10_K003_18.mat,False,paderborn_channels_verified
paderborn_artificial_to_natural,artificial_to_real_damage,paderborn,paderborn_n09_m07_f10_k003_19_multisensor,paderborn_n09_m07_f10_k003_19,train,K003,multisensor,current|force|speed|temperature|torque|vibration,N09,M07_F10,n09_m07_f10,healthy,0,healthy,healthy,19,data/raw/paderborn/K003/N09_M07_F10_K003_19.mat,False,paderborn_channels_verified
