protocol,fold_id,split,n_rows,n_recording_id,n_base_recording_id,n_health_labels,health_label_counts,fault_family_counts,condition_counts
cwru_leave_one_load_out,test_load_1,test,10,10,10,2,"{'fault': 9, 'healthy': 1}","{'bearing_ball': 3, 'bearing_inner_race': 3, 'bearing_outer_race': 3, 'healthy': 1}",{'load_1': 10}
nln_emp_leave_one_speed_out,test_speed_100,test,51,51,26,2,"{'fault': 41, 'healthy': 10}","{'healthy': 10, 'looseness_soft_foot': 8, 'bearing_inner_race': 6, 'bearing_outer_race': 6, 'bearing_ball': 6, 'impeller_fault': 6, 'stator_winding_fault': 3, 'bearing_ball_spin': 2, 'bearing_contamination': 2, 'rotor_fault': 2}",{'motor_2_speed_100': 51}
nln_emp_leave_one_speed_out,test_speed_100,train,154,154,78,2,"{'fault': 130, 'healthy': 24}","{'healthy': 24, 'misalignment': 22, 'cavitation': 14, 'unbalance': 14, 'looseness_soft_foot': 13, 'bearing_outer_race': 12, 'impeller_fault': 10, 'bearing_ball': 8, 'stator_winding_fault': 8, 'coupling_fault': 8, 'bearing_inner_race': 7, 'bearing_ball_spin': 4, 'bearing_contamination': 4, 'rotor_fault': 4, 'bent_shaft': 2}","{'motor_4_speed_70': 68, 'motor_2_speed_50': 44, 'motor_2_speed_75': 42}"
nln_emp_leave_one_speed_out,test_speed_100,val,27,27,14,2,"{'fault': 23, 'healthy': 4}","{'bearing_inner_race': 4, 'bearing_ball': 4, 'healthy': 4, 'misalignment': 4, 'unbalance': 4, 'cavitation': 3, 'looseness_soft_foot': 2, 'impeller_fault': 2}","{'motor_4_speed_70': 11, 'motor_2_speed_75': 10, 'motor_2_speed_50': 6}"
nln_emp_leave_one_speed_out,test_speed_50,test,50,50,26,2,"{'fault': 40, 'healthy': 10}","{'healthy': 10, 'looseness_soft_foot': 7, 'bearing_outer_race': 6, 'bearing_ball': 6, 'impeller_fault': 6, 'bearing_inner_race': 5, 'stator_winding_fault': 4, 'bearing_ball_spin': 2, 'bearing_contamination': 2, 'rotor_fault': 2}",{'motor_2_speed_50': 50}
nln_emp_leave_one_speed_out,test_speed_50,train,155,155,78,2,"{'fault': 131, 'healthy': 24}","{'healthy': 24, 'misalignment': 22, 'looseness_soft_foot': 14, 'cavitation': 14, 'unbalance': 14, 'bearing_outer_race': 12, 'impeller_fault': 10, 'bearing_inner_race': 8, 'bearing_ball': 8, 'coupling_fault': 8, 'stator_winding_fault': 7, 'bearing_ball_spin': 4, 'bearing_contamination': 4, 'rotor_fault': 4, 'bent_shaft': 2}","{'motor_4_speed_70': 68, 'motor_2_speed_100': 45, 'motor_2_speed_75': 42}"
nln_emp_leave_one_speed_out,test_speed_50,val,27,27,14,2,"{'fault': 23, 'healthy': 4}","{'bearing_inner_race': 4, 'bearing_ball': 4, 'healthy': 4, 'misalignment': 4, 'unbalance': 4, 'cavitation': 3, 'looseness_soft_foot': 2, 'impeller_fault': 2}","{'motor_4_speed_70': 11, 'motor_2_speed_75': 10, 'motor_2_speed_100': 6}"
nln_emp_leave_one_speed_out,test_speed_70,test,79,79,40,2,"{'fault': 71, 'healthy': 8}","{'misalignment': 26, 'unbalance': 18, 'cavitation': 17, 'coupling_fault': 8, 'healthy': 8, 'bent_shaft': 2}",{'motor_4_speed_70': 79}
nln_emp_leave_one_speed_out,test_speed_70,train,129,129,66,2,"{'fault': 103, 'healthy': 26}","{'healthy': 26, 'looseness_soft_foot': 19, 'impeller_fault': 18, 'bearing_inner_race': 15, 'bearing_outer_race': 14, 'bearing_ball': 12, 'stator_winding_fault': 9, 'bearing_ball_spin': 6, 'rotor_fault': 6, 'bearing_contamination': 4}","{'motor_2_speed_75': 46, 'motor_2_speed_50': 42, 'motor_2_speed_100': 41}"
nln_emp_leave_one_speed_out,test_speed_70,val,24,24,12,2,"{'fault': 20, 'healthy': 4}","{'bearing_ball': 6, 'bearing_outer_race': 4, 'healthy': 4, 'looseness_soft_foot': 4, 'bearing_inner_race': 2, 'bearing_contamination': 2, 'stator_winding_fault': 2}","{'motor_2_speed_100': 10, 'motor_2_speed_50': 8, 'motor_2_speed_75': 6}"
nln_emp_leave_one_speed_out,test_speed_75,test,52,52,26,2,"{'fault': 42, 'healthy': 10}","{'healthy': 10, 'looseness_soft_foot': 8, 'bearing_inner_race': 6, 'bearing_outer_race': 6, 'bearing_ball': 6, 'impeller_fault': 6, 'stator_winding_fault': 4, 'bearing_ball_spin': 2, 'bearing_contamination': 2, 'rotor_fault': 2}",{'motor_2_speed_75': 52}
