experiment,dataset,seed,status,curriculum
E1_Main_Fusion,nln_emp,42,COMPLETED,True
E1_Main_Fusion,nln_emp,123,COMPLETED,True
E1_Main_Fusion,nln_emp,999,COMPLETED,True
E1_Main_Fusion,nln_emp,7,COMPLETED,True
E1_Main_Fusion,nln_emp,88,COMPLETED,True
E2_Vib_Only,nln_emp,42,COMPLETED,True
E2_Vib_Only,nln_emp,123,COMPLETED,True
E2_Vib_Only,nln_emp,999,COMPLETED,True
E2_Vib_Only,nln_emp,7,COMPLETED,True
E2_Vib_Only,nln_emp,88,COMPLETED,True
E3_Curr_Only,nln_emp,42,COMPLETED,True
E3_Curr_Only,nln_emp,123,COMPLETED,True
E3_Curr_Only,nln_emp,999,COMPLETED,True
E3_Curr_Only,nln_emp,7,COMPLETED,True
E3_Curr_Only,nln_emp,88,COMPLETED,True
E4_No_Curriculum,nln_emp,42,COMPLETED,False
E4_No_Curriculum,nln_emp,123,COMPLETED,False
E4_No_Curriculum,nln_emp,999,COMPLETED,False
E4_No_Curriculum,nln_emp,7,COMPLETED,False
E4_No_Curriculum,nln_emp,88,COMPLETED,False
E5_Paderborn_Robustness,paderborn,42,COMPLETED,True
E5_Paderborn_Robustness,paderborn,123,COMPLETED,True
E5_Paderborn_Robustness,paderborn,999,COMPLETED,True
E5_Paderborn_Robustness,paderborn,7,COMPLETED,True
E5_Paderborn_Robustness,paderborn,88,COMPLETED,True
